,new_word
0,125
1,12세
2,130
3,140
4,151
5,152
6,153
7,154
8,155
9,156
10,157
11,158
12,159
13,160
14,161
15,162
16,163
17,164
18,165
19,166
20,167
21,168
22,169
23,170
24,171
25,172
26,173
27,174
28,175
29,176
30,177
31,178
32,179
33,180
34,181
35,182
36,183
37,184
38,185
39,186
40,187
41,188
42,189
43,190
44,191
45,192
46,193
47,194
48,195
49,196
50,197
51,198
52,199
53,1박
54,200
55,2020년
56,2021년
57,4회
58,5회
59,6갑직급
60,6세
61,7회
62,8회
63,B
64,BCT
65,CPS
66,CSP
67,DC형
68,GB벨트
69,IDP
70,IRA
71,ISA
72,LPG
73,NCS
74,OPIC
75,S030
76,SPC
77,TF
78,TI
79,가급
80,가정
81,각오
82,개근
83,개산보험료
84,객실
85,건강보험
86,격려
87,결정문
88,결정세액
89,경조화환
90,경증
91,경축금
92,계속
93,고충위원회
94,공격성
95,공단
96,공무원연금
97,공실
98,공제율
99,과세표준
100,교직원
101,국어능력
102,군경력
103,군인연금
104,귀국
105,귀속연도
106,균형
107,그룹핑
108,근무평정
109,금액
110,금융기관
111,금융회사
112,급상여
113,기간
114,기수령
115,기처리
116,기호품
117,난임
118,내용
119,내지
120,뇨검사
121,누진
122,다문화가정
123,대근원
124,대근자
125,대중교통
126,돌발
127,동결
128,동승
129,득점
130,듣기
131,렌트
132,명
133,명함
134,무계
135,무급
136,무모함
137,미수행
138,미적치
139,미취학
140,반사회성
141,발령지
142,발전사
143,발표회
144,발휘
145,번호
146,범칙
147,벽지
148,변속
149,별정
150,보육비
151,보증자
152,본관
153,본교
154,본압류
155,부적응성
156,분교
157,불원
158,브히
159,비거치식
160,비버전
161,비사교성
162,비수익
163,비판성
164,사내기금
165,사사
166,사우회
167,산출세액
168,상사평가
169,상위자
170,색각
171,생활근거지
172,선편
173,성문제
174,성실
175,성향
176,세무서
177,세차
178,소득공제
179,송장
180,수
181,수상자
182,수습
183,수익자
184,순
185,스피킹
186,승급
187,승호
188,시간선택제
189,시험실
190,실습
191,실업크레딧
192,실적서
193,안분
194,양성평등
195,여부
196,여행사
197,연도
198,연평균
199,오버홀
200,우수인력
201,원룸
202,원처분
203,유연근무
204,육성
205,음주운전
206,의무실
207,의사소통
208,이혼
209,인당
210,인바스켓
211,인사노무
212,인적
213,일근
214,일본어
215,일비
216,일자
217,일할
218,임대차계약
219,입국
220,입양
221,자기소개
222,장기요양
223,재대출
224,재입학
225,재전송자
226,저당권
227,적수
228,전문직위
229,전액
230,전후
231,점수
232,정현원
233,조약
234,조직장
235,종가
236,종피보험자
237,주식매수선택권
238,주인
239,주피보험자
240,중국어
241,중소기업핵심인력성과보상기금
242,지국
243,지도관찰표
244,직등호
245,직불카드
246,진료
247,창출
248,척도
249,청경
250,체크카드
251,체험형
252,초간고시
253,출국
254,출산휴가
255,출생지
256,출차
257,캠프
258,커트라인
259,코드
260,코로나
261,쿼터
262,태도
263,통근
264,통상근무
265,퇴직연금
266,파업
267,펀드
268,평가대상
269,피드백
270,피보험자
271,피평정자
272,학제
273,한국사
274,항공료
275,항공사
276,항공편명
277,해외파견
278,핵심인력
279,행복나눔회
280,헌혈
281,형평
282,화물
283,화학
284,환경원가
285,후임자
286,흥미
